"minority_dummy" "above_insurance" "opening_balance" "ln_maturity" "loanlink" "travel_costs" "ln_accountage" "ward" "runner" "uninsured_no_rel" "uninsured_rel" "loanlink_before" "loanlink_current" "loanlink_after" "household_key" "accountage" "days_maturity"
"1" 1 0 0.0402739718556404 0 0 NA 3.76120018959045 NA 0 0 0 0 0 0 471 43 0
"2" 0 0 0.0510499998927116 6.48768424987793 0 1 7.19067621231079 1 0 0 0 0 0 0 2791 1327 656
"3" 1 0 0.0510787665843964 6.48463535308838 0 NA 7.1921820640564 NA 0 0 0 0 0 0 NA 1329 654
"4" 0 0 0.0511219166219234 6.4800443649292 0 2 7.15617656707764 1 0 0 0 0 0 0 1113 1282 651
"5" 1 0 0.0511363036930561 6.47850942611694 0 3 7.18159198760986 6 0 0 0 0 0 0 NA 1315 650
"6" 0 0 0.0511363036930561 6.47850942611694 0 2 7.18159198760986 6 0 0 0 0 0 0 138 1315 650
"7" 1 0 0.0511794537305832 6.47389078140259 0 1 7.18992233276367 6 0 0 0 0 0 0 979 1326 647
"8" 1 0 0.0512945167720318 6.46146821975708 0 6 7.18992233276367 7 0 0 0 0 0 0 23026 1326 639
"9" 0 0 0.0513376705348492 6.45676946640015 0 5 7.1921820640564 37 0 0 0 0 0 0 1075 1329 636
"10" 0 0 0.0513664372265339 6.45362520217896 0 7 7.19067621231079 46 0 0 0 0 0 0 2202 1327 634
"11" 0 0 0.0515534244477749 6.4329400062561 0 7 7.19067621231079 21 0 0 0 0 0 0 1733 1327 621
"12" 1 0 0.0515534244477749 6.4329400062561 0 2 7.18006992340088 6 0 0 0 0 0 0 1029 1313 621
"13" 1 0 0.0516109615564346 6.42648839950562 0 2 7.15617656707764 6 0 0 0 0 0 0 3540 1282 617
"14" 0 0 0.0516972579061985 6.41673231124878 0 7 7.18006992340088 63 0 0 0 0 0 0 1848 1313 611
"15" 0 0 0.0516972579061985 6.41673231124878 0 7 7.18006992340088 63 0 0 0 0 0 0 1849 1313 611
"16" 0 0 0.0516972579061985 6.41673231124878 0 7 7.18006992340088 63 0 0 0 0 0 0 2337 1313 611
"17" 0 0 0.0518842451274395 6.39526176452637 0 4 7.19067621231079 10 0 0 0 0 0 0 2176 1327 598
"18" 0 0 0.0520280823111534 6.37842607498169 0 7 7.1762547492981 46 0 0 0 0 0 0 225 1308 588
"19" 0 0 0.0520280823111534 6.37842607498169 0 7 7.15617656707764 8 0 0 0 0 0 0 3141 1282 588
"20" 0 0 0.0520856156945229 6.37161207199097 0 7 6.2383246421814 46 0 0 0 0 0 0 2202 512 584
"21" 0 0 0.0520856156945229 6.37161207199097 0 7 7.1228666305542 13 0 0 0 0 0 0 3094 1240 584
"22" 0 0 0.0520856156945229 6.37161207199097 0 2 6.2383246421814 5 0 0 0 0 0 0 1768 512 584
"23" 1 0 0.052200686186552 6.35784244537354 0 5 7.12769365310669 7 0 0 0 0 0 0 369 1246 576
"24" 0 0 0.0523301400244236 6.34212160110474 0 1 7.20934009552002 5 0 0 0 0 0 0 1584 1352 567
"25" 0 0 0.0523301400244236 6.34212160110474 0 2 7.19067621231079 1 0 0 0 0 0 0 1974 1327 567
"26" 0 0 0.0523301400244236 6.34212160110474 0 3 7.12769365310669 2 0 0 0 0 0 0 NA 1246 567
"27" 0 0 0.0523301400244236 6.34212160110474 1 4 7.20934009552002 3 0 0 0 0 1 0 194 1352 567
"28" 0 0 0.0523732863366604 6.33682584762573 0 7 7.12769365310669 13 0 0 0 0 0 0 367 1246 564
"29" 0 0 0.0526689626276493 6.3885612487793 0 NA 7.18159198760986 53 0 0 0 0 0 0 3566 1315 594
"30" 0 0 0.0527328774333 6.29156923294067 0 7 7.19067621231079 32 0 0 0 0 0 0 3338 1327 539
"31" 0 0 0.052905485033989 6.26909637451172 0 NA 7.15851402282715 NA 0 0 0 0 0 0 NA 1285 527
"32" 1 0 0.0529198609292507 6.2672004699707 0 3 7.15851402282715 6 0 0 0 0 0 0 NA 1285 526
"33" 1 0 0.0531356148421764 6.2383246421814 0 1 7.1921820640564 6 0 0 0 0 0 0 1750 1329 511
"34" 0 0 0.0532075315713882 6.22851085662842 0 NA 7.16626596450806 NA 0 0 0 0 0 0 NA 1295 506
"35" 0 0 0.0533226020634174 4.89784002304077 0 2 7.18159198760986 5 0 0 0 0 0 0 335 1315 133
"36" 0 0 0.0533226020634174 4.89784002304077 0 2 7.18765735626221 1 0 0 0 0 0 0 3678 1323 133
"37" 0 0 0.0534356124699116 5.89026212692261 0 1 7.18992233276367 6 0 0 0 0 0 0 1757 1326 360.5
"38" 1 0 0.053623978048563 5.88610410690308 0 1 7.18992233276367 1 0 0 0 0 0 0 1378 1326 359
"39" 0 0 0.0537068471312523 4.77912330627441 0 NA 7.1762547492981 NA 0 0 0 0 0 0 NA 1308 118
"40" 0 0 0.0537219196557999 4.77068471908569 0 NA 7.18765735626221 NA 0 0 0 0 0 0 NA 1323 117
"41" 1 0 0.0537821911275387 4.73619842529297 0 3 7.20414924621582 6 0 0 0 0 0 0 NA 1345 113
"42" 1 0 0.053797259926796 4.72738790512085 0 NA 7.20711898803711 NA 0 0 0 0 0 0 NA 1349 112
"43" 0 0 0.0538274012506008 4.70953035354614 0 NA 7.20934009552002 NA 0 0 0 0 0 0 NA 1352 110
