"runner75" "obervation_id" "loanlink" "opening_balance" "avg_transaction" "minority_dummy" "above_insurance" "ln_accountage" "age" "stock" "social_runners" "ward_runners" "education" "avg_deposit_chng" "avg_withdraw_chng" "education_dummy1" "education_dummy2" "wealth"
"1" 0 3751 0 23.3199996948242 15 0 0 6.47850942611694 4 0 0.0669642835855484 0.0319634713232517 2 0.000288100010948256 0 1 0 0.00392156885936856
"2" 0 15912 0 0.310000002384186 3 0 0 8.15622329711914 3 0 0 0.0313192009925842 1 0.000378371012629941 0 0 0 0.00392156885936856
"3" 0 11135 0 11.2006006240845 4 1 0 7.6838641166687 4 0 0 0.0313192009925842 1 0.000350471003912389 0 0 0 0.00392156885936856
"4" 1 15689 0 660.309997558594 4 1 0 7.6838641166687 4 1 0 0.0313192009925842 3 0.000374243012629449 0 0 1 0.00392156885936856
"5" 0 15299 0 0.707499980926514 3 1 0 7.6838641166687 4 0 0 0.0313192009925842 3 0.000368829001672566 0 0 1 0.00392156885936856
"6" 0 2371 0 7.6282000541687 15 0 0 7.80139112472534 4 0 0 0.0319634713232517 2 0 0 1 0 0.00392156885936856
"7" 0 17237 0 7.95310020446777 26 0 0 7.68708038330078 NA 0 0 0.03125 3 0.000844999973196536 0 0 1 0.00392156885936856
"8" 1 17470 0 390.880004882812 4 1 0 7.57353115081787 4 1 0 0.0313192009925842 1 0.00155038596130908 0 0 0 0.00400000018998981
"9" 0 16173 1 23.6214981079102 10 0 0 8.09162712097168 4 0 0 0.0319634713232517 3 0.000386100000469014 0 0 1 0.00400000018998981
"10" 0 9737 0 34.5787010192871 8 0 0 7.6838641166687 4 0 0 0.0358422957360744 2 0.000322056992445141 0.0211229994893074 1 0 0.00400000018998981
"11" 0 12782 0 11.2044992446899 15 1 0 7.6838641166687 5 1 0 0.0313192009925842 3 0.000357056997017935 0 0 1 0.00400000018998981
"12" 0 17172 0 48.2935028076172 5 0 0 7.70975685119629 4 0 0 0.0239520967006683 2 0.000726900005247444 0 1 0 0.00400000018998981
"13" 1 10587 0 344.280792236328 11 0 0 7.6838641166687 4 0 0 0.0313192009925842 3 0.00034520000917837 0.00439064297825098 0 1 0.00763358781114221
"14" 0 14189 0 0.405000001192093 3 1 0 7.6838641166687 NA 0 0 0.0313192009925842 2 0.000361285987310112 0 1 0 0.00763358781114221
"15" 0 15794 0 23.2299995422363 4 1 0 7.6838641166687 3 0 0 0.0313192009925842 1 0.000375942996470258 0 0 0 0.00763358781114221
"16" 0 13110 0 3.35290002822876 4 1 0 7.6838641166687 4 0 0 0.0313192009925842 1 0.000357543001882732 0 0 0 0.00763358781114221
"17" 1 10977 0 525.513916015625 4 0 0 7.6838641166687 4 0 0 0.0314136110246181 2 0.000349100009771064 0 1 0 0.00792156904935837
"18" 0 19396 1 5.09999990463257 4 0 0 5.78382539749146 4 0 0.0512820519506931 0.0555555559694767 3 0.971878588199615 0 0 1 0.00792156904935837
"19" 0 18351 0 3.59999990463257 4 1 0 7.14440727233887 3 0 0 0.00970873795449734 2 0.0306633859872818 0 1 0 0.00792156904935837
"20" 0 10820 0 14.4630002975464 5 0 0 7.6838641166687 4 0 0 0.0245283022522926 3 0.000347713998053223 0 0 1 0.00792156904935837
"21" 0 18727 0 11.0150003433228 13 0 0 6.88857269287109 4 0 0 0.0127041740342975 3 0.0984464287757874 0 0 1 0.00792156904935837
"22" 0 9755 0 0 18 1 1 7.6838641166687 4 0 0.101265825331211 0.0313192009925842 2 0.000322842999594286 0.00923919957131147 1 0 0.00792156904935837
"23" 0 17397 0 6.67000007629395 4 0 0 7.60240125656128 4 0 0 0.029126213863492 2 0.00130914303008467 0 1 0 0.00792156904935837
"24" 0 19239 0 0.00999999977648258 5 0 0 6.16331481933594 4 0 0 0.0246153846383095 3 0.45181742310524 0 0 1 0.00792156904935837
"25" 0 10257 0 32.7925987243652 6 0 0 7.6838641166687 4 0 0 0 2 0.000339513993822038 0 1 0 0.00792156904935837
"26" 0 17349 1 4.57000017166138 4 1 0 7.6241307258606 4 0 0 0.032992035150528 3 0.00113517104182392 0 0 1 0.00792156904935837
"27" 0 11250 0 3.19170022010803 5 0 0 7.6838641166687 4 0 0 0.032992035150528 2 0.000351285998476669 0 1 0 0.00792156904935837
"28" 0 3300 1 1.64050006866455 0 0 0 7.23345518112183 4 1 0 0.0442890450358391 3 0 0 0 1 0.00792156904935837
"29" 1 13143 0 689.136474609375 29 1 0 7.6838641166687 3 0 0 0.0313192009925842 2 0.000357613986125216 0.0097972434014082 1 0 0.00792156904935837
"30" 0 16304 0 4.09000015258789 4 0 0 8.05261516571045 4 0 0 0.0270270276814699 3 0.000393586000427604 0 0 1 0.00792156904935837
"31" 0 1817 0 829.004516601562 108 0 0 8.09468364715576 4 NA 0 0.0313192009925842 3 0 0.0183241851627827 0 1 0.00792156904935837
"32" 0 14308 0 6.31650018692017 7 1 0 7.6838641166687 4 1 0 0.0358422957360744 2 0.000361813989002258 0 1 0 0.00792156904935837
"33" 0 19269 1 14.5488004684448 12 1 0 6.10255861282349 4 0 0.16666667163372 0.0313192009925842 2 0.50352144241333 0 1 0 0.00792156904935837
"34" 0 14154 0 0.944199979305267 6 0 0 7.6838641166687 4 0 0 0.0117647061124444 2 0.000361114012775943 0 1 0 0.00792156904935837
"35" 0 14089 0 2.37139987945557 4 0 0 7.6838641166687 4 0 0 0.0239520967006683 3 0.000360800011549145 0 0 1 0.00792156904935837
"36" 0 16426 0 1.77999997138977 4 0 0 7.99766302108765 4 0 0 0.0313192009925842 2 0.000401400000555441 0 1 0 0.00792156904935837
"37" 1 18747 0 224.490005493164 4 1 0 6.86901426315308 3 0 0.5 0.0313192009925842 3 0.104585811495781 0 0 1 0.00792156904935837
"38" 0 13968 0 31.4785003662109 8 0 0 7.6838641166687 5 0 0 0.0313192009925842 1 0.000360242993338034 0 0 0 0.00792156904935837
"39" 1 17755 0 511.166595458984 13 1 0 7.45414113998413 4 1 0 0.0313192009925842 3 0.00391467101871967 0 0 1 0.00792156904935837
"40" 0 13258 0 0.451799988746643 3 1 0 7.6838641166687 4 0 0 0.0313192009925842 3 0.00035782900522463 0 0 1 0.00792156904935837
"41" 0 15250 0 1.12260007858276 3 0 0 7.6838641166687 4 0 0 0.0313192009925842 3 0.000368442997569218 0 0 1 0.00792156904935837
"42" 0 14089 0 2.37139987945557 4 0 0 7.6838641166687 4 1 0 0.0239520967006683 1 0.000360800011549145 0 0 0 0.00792156904935837
"43" 0 16841 1 22.0400009155273 4 0 0 7.8663387298584 4 0 0 0.0181818176060915 2 0.000460270995972678 0 1 0 0.00792156904935837
"44" 0 2804 0 9.30000019073486 0 0 0 7.56216144561768 4 0 0 0.0245283022522926 1 0 0 0 0 0.00792156904935837
"45" 1 11889 0 108.941696166992 11 0 0 7.6838641166687 4 0 0 0.0799999982118607 3 0.000354413990862668 0 0 1 0.00792156904935837
"46" 0 14639 0 9.75 14 1 0 8.36357593536377 4 0 0 0.0313192009925842 3 0.000363470986485481 0 0 1 0.00792156904935837
"47" 1 19288 0 533.707885742188 43 0 0 6.04263305664062 4 0 0.300000011920929 0.03125 3 0.549051940441132 5.25286013726145e-05 0 1 0.00792156904935837
"48" 0 13048 0 1.54710006713867 4 1 0 7.6838641166687 4 0 0 0.0313192009925842 3 0.000357429002178833 0 0 1 0.00792156904935837
